Stakeholder,Stakeholder for some topic?,Emailed?,Replied?,Count,Migrate status and triage,Workflow,Config management workflows,DrupalCI workshop,ES6,Media,JS testing,,,,,,,,,,,,,,,,,
owner,,,,,mikeryan,dixon_,geerlingguy(?),Mixologic,nod_ / drpal,phenaproxima,dawehner,,,,,,,,,,,,,,,,,
tstoeckler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ultimike,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vasi,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
vijaycs85,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
webchick,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Wim Leers,1,,,4,,,,1,1,1,1,,,,,,,,,,,,,,,,,
xjm,1,,,5,1,1,,,1,1,1,,,,,,,,,,,,,,,,,
yched,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YesCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yoroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
